Month,Car,Location,Weather,TypeOfTrigger,ReactionTime,Cause
14-Sep,WDD2221851A001072,urban-street,cloudy,automatic,0.58,Incorrect Traffic Light Detection
14-Sep,WDD2221851A001072,urban-street,cloudy,automatic,0.66,Adverse road surface conditions
14-Sep,WDD2221851A001072,urban-street,cloudy,automatic,1.93,Position Estimation Failure
14-Sep,WDD2221851A001072,urban-street,cloudy,automatic,0.65,Emergency Vehicle
14-Sep,WDD2221851A001072,urban-street,cloudy,automatic,0.64,Adverse road surface conditions
14-Sep,WDD2221851A001072,urban-street,cloudy,automatic,0.88,Incorrect Traffic Light Detection
14-Sep,WDD2221851A001072,urban-street,cloudy,automatic,0.41,Emergency Vehicle
14-Sep,WDD2221851A001072,urban-street,cloudy,automatic,1.45,Emergency Vehicle
14-Sep,WDD2221851A001072,urban-street,cloudy,automatic,0.07,Software Froze
14-Sep,WDD2221851A001072,urban-street,cloudy,automatic,0.37,Hardware Fault
14-Sep,WDD2221851A001072,urban-street,cloudy,automatic,1.55,Emergency Vehicle
14-Sep,WDD2221851A001072,urban-street,cloudy,automatic,0.04,Incorrect Traffic Light Detection
14-Sep,WDD2221851A001072,urban-street,cloudy,automatic,0.4,Incorrect behavior prediction of others
14-Sep,WDD2221851A001072,urban-street,cloudy,automatic,1.86,Emergency Vehicle
14-Sep,WDD2221851A001072,urban-street,cloudy,automatic,0.21,Adverse road surface conditions
14-Sep,WDD2221851A001072,urban-street,cloudy,automatic,0.51,Recklessly behaving agent
14-Sep,WDD2221851A001072,urban-street,cloudy,manual,,Recklessly behaving agent
14-Sep,WDD2221851A001072,urban-street,cloudy,automatic,0.38,System Tuning and Calibration
14-Sep,WDD2221851A001072,urban-street,cloudy,manual,,Unwanted Driver Discomfort
14-Sep,WDD2221851A001072,urban-street,cloudy,automatic,0.22,Incorrect Traffic Light Detection
14-Sep,WDD2221851A001072,urban-street,cloudy,manual,,Unwanted Driver Discomfort
14-Sep,WDD2221851A001072,urban-street,cloudy,manual,,Incorrect behavior prediction of others
14-Sep,WDD2221851A001072,urban-street,cloudy,automatic,1.38,Adverse road surface conditions
14-Sep,WDD2221851A001072,urban-street,cloudy,manual,,Software Froze
14-Sep,WDD2221851A001072,urban-street,cloudy,manual,,Recklessly behaving agent
14-Sep,WDD2221851A001072,urban-street,cloudy,automatic,0.44,Unwanted Driver Discomfort
14-Sep,WDD2221851A001072,urban-street,cloudy,manual,,Software Froze
14-Sep,WDD2221851A001072,urban-street,cloudy,manual,,Hardware Fault
14-Sep,WDD2221851A001072,urban-street,cloudy,automatic,0.04,Unwanted Driver Discomfort
14-Sep,WDD2221851A001072,urban-street,cloudy,manual,,Recklessly behaving agent
14-Sep,WDD2221851A001072,urban-street,cloudy,automatic,0.29,Incorrect Traffic Light Detection
14-Sep,WDD2221851A001072,urban-street,cloudy,manual,,Unwanted Driver Discomfort
14-Sep,WDD2221851A001072,urban-street,cloudy,manual,,Recklessly behaving agent
14-Sep,WDD2221851A001072,urban-street,cloudy,manual,,Software Froze
14-Sep,WDD2221851A001072,urban-street,cloudy,automatic,1.35,Incorrect Traffic Light Detection
14-Sep,WDD2221851A001072,urban-street,cloudy,manual,,Incorrect Traffic Light Detection
14-Sep,WDD2221851A001072,urban-street,cloudy,manual,,Incorrect behavior prediction of others
14-Sep,WDD2221851A001072,urban-street,cloudy,manual,,Recklessly behaving agent
14-Sep,WDD2221851A001072,urban-street,cloudy,manual,,Recklessly behaving agent
14-Sep,WDD2221851A001072,urban-street,cloudy,manual,,Recklessly behaving agent
14-Sep,WDD2221851A001072,urban-street,cloudy,manual,,Software Froze
14-Sep,WDD2221851A001072,urban-street,cloudy,manual,,Position Estimation Failure
14-Sep,WDD2221851A001072,urban-street,cloudy,manual,,Unwanted Driver Discomfort
14-Sep,WDD2221851A001072,urban-street,cloudy,automatic,0.35,Incorrect Traffic Light Detection
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,1.03,Hardware Fault
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,1.12,Hardware Fault
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,0.42,Incorrect Traffic Light Detection
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,0.13,Adverse road surface conditions
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,0.16,Incorrect Traffic Light Detection
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Software Froze
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Unwanted Driver Discomfort
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,0.17,System Tuning and Calibration
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Incorrect behavior prediction of others
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,0.21,Incorrect Traffic Light Detection
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Recklessly behaving agent
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,1.05,Adverse road surface conditions
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,0.137,Adverse road surface conditions
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Recklessly behaving agent
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,0.57,Hardware Fault
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Unwanted Driver Discomfort
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,0.29,Adverse road surface conditions
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,0.56,Adverse road surface conditions
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Incorrect behavior prediction of others
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,0.97,Position Estimation Failure
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Hardware Fault
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,0.49,Emergency Vehicle
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,0.49,Position Estimation Failure
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,0.29,Software Froze
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Unwanted Driver Discomfort
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Incorrect behavior prediction of others
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,0.9,Hardware Fault
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Unwanted Driver Discomfort
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,0.94,Unwanted Driver Discomfort
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,2.82,Emergency Vehicle
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,2.68,Hardware Fault
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,0.97,Incorrect Traffic Light Detection
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Unwanted Driver Discomfort
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,2.94,Emergency Vehicle
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Unwanted Driver Discomfort
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Recklessly behaving agent
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,0.74,Adverse road surface conditions
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Incorrect behavior prediction of others
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,0.92,Position Estimation Failure
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Emergency Vehicle
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Recklessly behaving agent
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,System Tuning and Calibration
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,0.74,Incorrect Traffic Light Detection
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,0.56,Adverse road surface conditions
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,0,Emergency Vehicle
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Incorrect behavior prediction of others
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,0.2,Adverse road surface conditions
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,1.29,Adverse road surface conditions
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Incorrect behavior prediction of others
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,3.31,Emergency Vehicle
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Software Froze
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Adverse road surface conditions
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,1.21,Unwanted Driver Discomfort
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,0.76,Recklessly behaving agent
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Unwanted Driver Discomfort
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,1.62,Emergency Vehicle
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Incorrect behavior prediction of others
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Unwanted Driver Discomfort
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,0.87,Incorrect Traffic Light Detection
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Adverse road surface conditions
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,0.37,Position Estimation Failure
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,1.33,Emergency Vehicle
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Recklessly behaving agent
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Recklessly behaving agent
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Incorrect behavior prediction of others
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,1.65,Position Estimation Failure
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Incorrect behavior prediction of others
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Adverse road surface conditions
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Incorrect behavior prediction of others
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Incorrect behavior prediction of others
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,1,Incorrect Traffic Light Detection
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Recklessly behaving agent
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,0.25,Incorrect behavior prediction of others
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Unwanted Driver Discomfort
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,0.95,Incorrect Traffic Light Detection
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,0.21,Recklessly behaving agent
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Incorrect behavior prediction of others
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Recklessly behaving agent
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Incorrect behavior prediction of others
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,1.03,Position Estimation Failure
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,0.22,Position Estimation Failure
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,0.22,Position Estimation Failure
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,0.35,Position Estimation Failure
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,0.35,Adverse road surface conditions
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,0.69,Position Estimation Failure
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Recklessly behaving agent
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Incorrect behavior prediction of others
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Recklessly behaving agent
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Software Froze
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Recklessly behaving agent
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Incorrect behavior prediction of others
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Recklessly behaving agent
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,25,Adverse road surface conditions
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Incorrect behavior prediction of others
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,0.23,Incorrect Traffic Light Detection
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,1.25,Incorrect Traffic Light Detection
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,0.28,Position Estimation Failure
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Recklessly behaving agent
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Unwanted Driver Discomfort
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,0.4,Emergency Vehicle
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,0.21,Emergency Vehicle
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Recklessly behaving agent
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,0.06,Incorrect Traffic Light Detection
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Unwanted Driver Discomfort
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Incorrect behavior prediction of others
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,0.21,Incorrect Traffic Light Detection
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Unwanted Driver Discomfort
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Hardware Fault
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,0.8,Position Estimation Failure
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,System Tuning and Calibration
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,0.35,Emergency Vehicle
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,0.12,Adverse road surface conditions
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Unwanted Driver Discomfort
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Unwanted Driver Discomfort
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,0.18,Incorrect Traffic Light Detection
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Incorrect Traffic Light Detection
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Recklessly behaving agent
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Emergency Vehicle
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,0.21,Position Estimation Failure
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Unwanted Driver Discomfort
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Recklessly behaving agent
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Incorrect behavior prediction of others
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,System Tuning and Calibration
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Unwanted Driver Discomfort
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Emergency Vehicle
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Hardware Fault
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Adverse road surface conditions
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,1.06,Hardware Fault
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,0.75,Position Estimation Failure
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,0.79,Software Froze
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Incorrect behavior prediction of others
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,0.41,Emergency Vehicle
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Recklessly behaving agent
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Unwanted Driver Discomfort
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Incorrect Traffic Light Detection
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Unwanted Driver Discomfort
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Incorrect behavior prediction of others
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Incorrect behavior prediction of others
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Recklessly behaving agent
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Recklessly behaving agent
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,0.8,Adverse road surface conditions
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,0.29,Incorrect Traffic Light Detection
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,1.25,Adverse road surface conditions
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,0.67,Adverse road surface conditions
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,0.99,Adverse road surface conditions
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,0.54,Software Froze
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Recklessly behaving agent
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Unwanted Driver Discomfort
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,0.29,Adverse road surface conditions
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,0.42,Emergency Vehicle
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Hardware Fault
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Recklessly behaving agent
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Incorrect behavior prediction of others
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Unwanted Driver Discomfort
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Unwanted Driver Discomfort
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Unwanted Driver Discomfort
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,0.27,Software Froze
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,0.21,Unwanted Driver Discomfort
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,0.74,Emergency Vehicle
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,0.29,Emergency Vehicle
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Unwanted Driver Discomfort
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,0.33,Adverse road surface conditions
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,0.64,Incorrect Traffic Light Detection
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,0.9,Incorrect Traffic Light Detection
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Unwanted Driver Discomfort
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Incorrect Traffic Light Detection
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Emergency Vehicle
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Recklessly behaving agent
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Recklessly behaving agent
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Recklessly behaving agent
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,0.29,Adverse road surface conditions
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,0.03,Emergency Vehicle
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Incorrect behavior prediction of others
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Recklessly behaving agent
