Month,Car,miles driven in autonomous mode,total number of disengagements,number of automatic disengagements,number of manual disengagements
14-Sep,WDD2221851A001072,4207,44,24,20
14-Oct,WDD2221851A001072,23971,228,100,128
14-Nov,WDD2221851A001072,15837,141,66,75
14-Dec,WDD2221851A001072,9413,36,15,21
15-Jan,WDD2221851A001072,18192,48,18,30
15-Feb,WDD2221851A001072,18745,16,8,8
15-Mar,WDD2221851A001072,22204,39,31,8
15-Apr,WDD2221851A001072,31927,72,51,21
15-May,WDD2221851A001072,38017,34,11,23
15-Jun,WDD2221851A001072,42047,127,58,69
15-Jul,WDD2221851A001072,34805,69,30,39
15-Aug,WDD2221851A001072,38220,24,13,11
15-Sep,WDD2221851A001072,36327,43,22,21
15-Oct,WDD2221851A001072,47144,17,5,12
15-Nov,WDD2221851A001072,43276,22,11,11
14-Oct,WDD2221851A000495,37910,16,11,5
14-Nov,WDD2221851A000495,42987,48,19,29
