CellName,time,temp
Metformin_1,short,cool
Metformin_2,short,cold
Metformin_3,short,warm
Metformin_4,short,cool
Metformin_5,short,cold
Metformin_6,short,warm
Metformin_7,short,hot
Metformin_8,short,warm
Metformin_9,short,cool
Metformin_10,short,cool
Metformin_11,short,cold
Metformin_12,short,cold
Metformin_13,short,hot
Metformin_14,short,warm
Metformin_15,short,cold
Metformin_16,short,warm
Metformin_17,short,hot
Metformin_18,short,hot
Metformin_19,short,cool
Metformin_20,short,cool
Metformin_21,short,cool
Metformin_22,short,hot
Metformin_23,short,cool
Metformin_24,short,cold
Metformin_25,short,hot
Metformin_26,short,hot
Metformin_27,short,cool
Metformin_28,short,warm
Metformin_29,short,cool
Metformin_30,short,warm
Metformin_31,short,cool
Metformin_32,short,cool
Metformin_33,short,hot
Metformin_34,short,cold
Metformin_35,short,cold
Metformin_36,short,warm
Metformin_37,short,warm
Metformin_38,short,cool
Metformin_39,short,hot
Metformin_40,short,cold
Metformin_41,short,cold
Metformin_42,short,cold
Metformin_43,short,cool
Metformin_44,short,cool
Metformin_45,short,cool
Metformin_46,short,cool
Metformin_47,short,cold
Metformin_48,short,hot
Metformin_49,short,hot
Metformin_50,short,hot
Metformin_51,short,cool
Metformin_52,short,hot
Metformin_53,short,cold
Metformin_54,short,warm
Metformin_55,short,warm
Metformin_56,short,hot
Metformin_57,short,hot
Metformin_58,short,cool
Metformin_59,short,warm
Metformin_60,short,hot
Metformin_61,short,cool
Metformin_62,short,hot
Metformin_63,short,warm
Metformin_64,short,cool
Metformin_65,short,cold
Metformin_66,short,cool
Metformin_67,short,cold
Metformin_68,short,warm
Metformin_69,short,warm
Metformin_70,short,cold
Metformin_71,short,hot
Metformin_72,short,cold
Metformin_73,short,cool
Metformin_74,short,cool
Metformin_75,short,warm
Metformin_76,short,warm
Metformin_77,short,hot
Metformin_78,short,cold
Metformin_79,short,cold
Metformin_80,short,hot
Metformin_81,short,cold
Metformin_82,short,cold
Metformin_83,short,warm
Metformin_84,short,warm
Metformin_85,short,hot
Metformin_86,short,warm
Metformin_87,short,hot
Metformin_88,short,hot
Metformin_89,short,hot
Metformin_90,short,hot
Metformin_91,short,warm
Metformin_92,short,warm
Metformin_93,short,hot
Metformin_94,short,cold
Metformin_95,short,cold
Metformin_96,short,cool
Metformin_97,short,warm
Metformin_98,short,cold
Metformin_99,short,cool
Metformin_100,short,cool
Metformin_101,short,cold
Metformin_102,short,cold
Metformin_103,short,cold
Metformin_104,short,hot
Metformin_105,short,hot
Metformin_106,short,warm
Metformin_107,short,warm
Metformin_108,short,hot
Metformin_109,short,hot
Metformin_110,short,cool
Metformin_111,short,hot
Metformin_112,short,hot
Metformin_113,short,warm
Metformin_114,short,cool
Metformin_115,short,warm
Metformin_116,short,hot
Metformin_117,short,warm
Metformin_118,short,cold
Metformin_119,short,warm
Metformin_120,short,warm
Metformin_121,short,warm
Metformin_122,short,cool
Metformin_123,short,warm
Metformin_124,short,cool
Metformin_125,short,cold
Metformin_126,short,warm
Metformin_127,short,warm
Metformin_128,short,cold
Metformin_129,short,cold
Metformin_130,short,cold
Metformin_131,short,cool
Metformin_132,short,cold
Metformin_133,short,warm
Metformin_134,short,cool
Metformin_135,short,cold
Metformin_136,short,cold
Metformin_137,short,cool
Metformin_138,short,hot
Metformin_139,short,cool
Metformin_140,short,cold
Metformin_141,short,cool
Metformin_142,short,warm
Metformin_143,short,cool
Metformin_144,short,cold
Metformin_145,short,cold
Metformin_146,short,cold
Metformin_147,short,warm
Metformin_148,short,cold
Metformin_149,short,hot
Metformin_150,short,cold
Metformin_151,short,cool
Metformin_152,short,warm
Metformin_153,short,cool
Metformin_154,short,hot
Metformin_155,short,cool
Metformin_156,short,hot
Metformin_157,short,cool
Metformin_158,short,cool
Metformin_159,short,warm
Metformin_160,short,hot
Metformin_161,short,warm
Metformin_162,short,cold
Metformin_163,short,warm
Metformin_164,short,cool
Metformin_165,short,warm
Metformin_166,short,warm
Metformin_167,short,cool
Metformin_168,short,warm
Metformin_169,short,cold
Metformin_170,short,hot
Metformin_171,short,hot
Metformin_172,short,warm
Metformin_173,short,warm
Metformin_174,short,cool
Metformin_175,short,hot
Metformin_176,short,hot
Metformin_177,short,cold
Metformin_178,short,cold
Metformin_179,short,cool
Metformin_180,short,hot
Metformin_181,short,warm
Metformin_182,short,warm
Metformin_183,short,cool
Metformin_184,short,warm
Metformin_185,long,warm
Metformin_186,long,cool
Metformin_187,long,hot
Metformin_188,long,warm
Metformin_189,long,hot
Metformin_190,long,cool
Metformin_191,long,cold
Metformin_192,long,cool
